No.,Time,Tspan(s),G_High,G_Avg,G_Low
3462,2026-05-25 15:15:32:688,138.383, 143.79,  81.73,  69.08
3463,2026-05-25 15:15:32:725,138.419, 143.79,  81.73,  69.08
3464,2026-05-25 15:15:32:768,138.463, 143.79,  81.73,  65.86
3465,2026-05-25 15:15:32:807,138.502, 143.79,  82.06,  65.86
3466,2026-05-25 15:15:32:848,138.542, 146.03,  82.39,  69.08
3467,2026-05-25 15:15:32:886,138.581, 143.79,  82.39,  69.08
3468,2026-05-25 15:15:32:925,138.620, 143.79,  82.39,  69.08
3469,2026-05-25 15:15:32:967,138.661, 143.79,  82.39,  69.08
3470,2026-05-25 15:15:33:008,138.702, 146.03,  82.39,  69.08
3471,2026-05-25 15:15:33:046,138.741, 143.79,  82.06,  65.86
3472,2026-05-25 15:15:33:085,138.780, 146.03,  82.06,  65.86
3473,2026-05-25 15:15:33:125,138.819, 143.79,  82.06,  69.08
3474,2026-05-25 15:15:33:166,138.860, 143.79,  82.06,  65.86
3475,2026-05-25 15:15:33:205,138.899, 143.79,  81.73,  69.08
3476,2026-05-25 15:15:33:245,138.939, 141.78,  81.73,  69.08
3477,2026-05-25 15:15:33:286,138.980, 143.79,  82.06,  69.08
3478,2026-05-25 15:15:33:325,139.019, 143.79,  82.39,  69.08
3479,2026-05-25 15:15:33:367,139.061, 143.79,  82.39,  69.08
3480,2026-05-25 15:15:33:407,139.101, 143.79,  82.06,  65.86
3481,2026-05-25 15:15:33:448,139.142, 143.79,  81.73,  69.08
3482,2026-05-25 15:15:33:491,139.185, 143.79,  81.73,  65.86
3483,2026-05-25 15:15:33:527,139.222, 143.79,  81.40,  69.08
3484,2026-05-25 15:15:33:567,139.261, 141.78,  81.07,  65.86
3485,2026-05-25 15:15:33:605,139.300, 143.79,  81.40,  65.86
3486,2026-05-25 15:15:33:646,139.340, 143.79,  81.07,  65.86
3487,2026-05-25 15:15:33:688,139.382, 141.78,  81.07,  65.86
3488,2026-05-25 15:15:33:728,139.422, 143.79,  81.40,  65.86
3489,2026-05-25 15:15:33:767,139.461, 141.78,  81.40,  65.86
3490,2026-05-25 15:15:33:806,139.500, 141.78,  78.74,  62.57
3491,2026-05-25 15:15:33:847,139.542, 141.78,  78.74,  65.86
3492,2026-05-25 15:15:33:887,139.581, 141.78,  78.74,  59.21
3493,2026-05-25 15:15:33:926,139.620, 141.78,  79.07,  62.57
3494,2026-05-25 15:15:33:966,139.659, 141.78,  79.07,  65.86
3495,2026-05-25 15:15:34:007,139.701, 141.78,  78.74,  62.57
3496,2026-05-25 15:15:34:045,139.740, 141.78,  78.74,  62.57
3497,2026-05-25 15:15:34:085,139.779, 141.78,  78.74,  62.57
3498,2026-05-25 15:15:34:125,139.819, 141.78,  78.74,  65.86
3499,2026-05-25 15:15:34:165,139.859, 141.78,  78.07,  59.21
3500,2026-05-25 15:15:34:207,139.901, 141.78,  78.40,  59.21
3501,2026-05-25 15:15:34:247,139.942, 141.78,  78.40,  65.86
3502,2026-05-25 15:15:34:287,139.982, 141.78,  78.74,  62.57
3503,2026-05-25 15:15:34:328,140.022, 141.78,  78.74,  65.86
3504,2026-05-25 15:15:34:366,140.060, 141.78,  78.74,  62.57
3505,2026-05-25 15:15:34:407,140.101, 141.78,  78.74,  62.57
3506,2026-05-25 15:15:34:447,140.141, 141.78,  78.74,  62.57
3507,2026-05-25 15:15:34:487,140.181, 141.78,  79.07,  65.86
3508,2026-05-25 15:15:34:525,140.219, 141.78,  79.07,  65.86
3509,2026-05-25 15:15:34:567,140.261, 143.79,  79.07,  65.86
3510,2026-05-25 15:15:34:606,140.301, 141.78,  78.74,  62.57
3511,2026-05-25 15:15:34:647,140.341, 141.78,  78.74,  65.86
3512,2026-05-25 15:15:34:687,140.382, 141.78,  79.07,  62.57
3513,2026-05-25 15:15:34:727,140.421, 143.79,  79.07,  65.86
3514,2026-05-25 15:15:34:767,140.461, 143.79,  79.07,  62.57
3515,2026-05-25 15:15:34:805,140.499, 141.78,  78.74,  62.57
3516,2026-05-25 15:15:34:846,140.540, 141.78,  76.37,  59.21
3517,2026-05-25 15:15:34:885,140.579, 139.76,  75.69,  59.21
3518,2026-05-25 15:15:34:927,140.622, 139.76,  75.35,  59.21
3519,2026-05-25 15:15:34:968,140.662, 139.76,  75.69,  59.21
3520,2026-05-25 15:15:35:005,140.699, 139.76,  76.03,  59.21
3521,2026-05-25 15:15:35:045,140.739, 139.76,  76.03,  59.21
3522,2026-05-25 15:15:35:085,140.779, 139.76,  76.37,  62.57
3523,2026-05-25 15:15:35:126,140.821, 139.76,  76.03,  59.21
3524,2026-05-25 15:15:35:166,140.860, 139.76,  76.03,  59.21
3525,2026-05-25 15:15:35:205,140.899, 139.76,  76.37,  59.21
3526,2026-05-25 15:15:35:245,140.939, 139.76,  76.03,  62.57
3527,2026-05-25 15:15:35:285,140.979, 139.76,  76.37,  59.21
3528,2026-05-25 15:15:35:325,141.019, 139.76,  76.37,  59.21
3529,2026-05-25 15:15:35:366,141.060, 141.78,  76.37,  59.21
3530,2026-05-25 15:15:35:407,141.101, 139.76,  76.03,  59.21
3531,2026-05-25 15:15:35:448,141.142, 137.47,  76.03,  55.78
3532,2026-05-25 15:15:35:491,141.185, 137.47,  75.69,  59.21
3533,2026-05-25 15:15:35:527,141.222, 139.76,  76.03,  59.21
3534,2026-05-25 15:15:35:565,141.259, 141.78,  76.03,  62.57
3535,2026-05-25 15:15:35:605,141.299, 137.47,  76.03,  59.21
3536,2026-05-25 15:15:35:648,141.343, 137.47,  76.03,  59.21
3537,2026-05-25 15:15:35:688,141.382, 137.47,  75.69,  59.21
3538,2026-05-25 15:15:35:728,141.422, 139.76,  75.69,  59.21
3539,2026-05-25 15:15:35:767,141.462, 139.76,  76.03,  62.57
3540,2026-05-25 15:15:35:807,141.502, 139.76,  75.69,  55.78
3541,2026-05-25 15:15:35:847,141.541, 135.41,  71.90,  55.78
3542,2026-05-25 15:15:35:887,141.582, 137.47,  72.25,  55.78
3543,2026-05-25 15:15:35:925,141.620, 139.76,  72.25,  55.78
3544,2026-05-25 15:15:35:965,141.659, 135.41,  72.59,  55.78
3545,2026-05-25 15:15:36:006,141.700, 135.41,  72.25,  55.78
3546,2026-05-25 15:15:36:045,141.740, 135.41,  72.59,  55.78
3547,2026-05-25 15:15:36:088,141.782, 135.41,  72.59,  55.78
3548,2026-05-25 15:15:36:126,141.820, 135.41,  72.59,  55.78
3549,2026-05-25 15:15:36:165,141.859, 137.47,  72.59,  55.78
3550,2026-05-25 15:15:36:206,141.900, 135.41,  72.59,  55.78
3551,2026-05-25 15:15:36:247,141.941, 135.41,  72.59,  55.78
3552,2026-05-25 15:15:36:288,141.982, 137.47,  72.59,  55.78
3553,2026-05-25 15:15:36:325,142.019, 135.41,  72.59,  55.78
3554,2026-05-25 15:15:36:374,142.068, 135.41,  72.59,  55.78
3555,2026-05-25 15:15:36:407,142.101, 133.34,  72.59,  55.78
3556,2026-05-25 15:15:36:448,142.141, 135.41,  72.25,  55.78
3557,2026-05-25 15:15:36:487,142.181, 133.34,  72.59,  55.78
3558,2026-05-25 15:15:36:525,142.219, 133.34,  72.59,  55.78
3559,2026-05-25 15:15:36:567,142.261, 135.41,  72.94,  55.78
3560,2026-05-25 15:15:36:607,142.301, 135.41,  73.29,  55.78
3561,2026-05-25 15:15:36:647,142.341, 135.41,  73.29,  55.78
3562,2026-05-25 15:15:36:685,142.380, 135.41,  73.29,  55.78
3563,2026-05-25 15:15:36:724,142.419, 135.41,  73.29,  55.78
3564,2026-05-25 15:15:36:766,142.460, 135.41,  73.29,  55.78
3565,2026-05-25 15:15:36:808,142.502, 135.41,  73.29,  55.78
3566,2026-05-25 15:15:36:847,142.541, 135.41,  72.94,  55.78
3567,2026-05-25 15:15:36:887,142.581, 141.78,  76.03,  59.21
3568,2026-05-25 15:15:36:928,142.622, 137.47,  75.69,  59.21
3569,2026-05-25 15:15:36:967,142.661, 137.47,  75.35,  59.21
3570,2026-05-25 15:15:37:007,142.701, 135.41,  75.35,  59.21
3571,2026-05-25 15:15:37:044,142.739, 137.47,  75.35,  59.21
3572,2026-05-25 15:15:37:086,142.781, 135.41,  75.69,  59.21
3573,2026-05-25 15:15:37:126,142.820, 137.47,  75.35,  55.78
3574,2026-05-25 15:15:37:166,142.860, 137.47,  75.35,  59.21
3575,2026-05-25 15:15:37:205,142.899, 137.47,  75.35,  55.78
3576,2026-05-25 15:15:37:245,142.940, 135.41,  75.69,  59.21
3577,2026-05-25 15:15:37:285,142.979, 137.47,  76.03,  59.21
3578,2026-05-25 15:15:37:325,143.019, 137.47,  76.37,  59.21
3579,2026-05-25 15:15:37:365,143.059, 137.47,  76.03,  59.21
3580,2026-05-25 15:15:37:405,143.099, 135.41,  75.69,  59.21
3581,2026-05-25 15:15:37:448,143.143, 137.47,  76.37,  59.21
3582,2026-05-25 15:15:37:487,143.181, 137.47,  76.03,  62.57
3583,2026-05-25 15:15:37:527,143.222, 135.41,  76.37,  62.57
3584,2026-05-25 15:15:37:572,143.266, 137.47,  76.37,  59.21
3585,2026-05-25 15:15:37:607,143.302, 137.47,  76.37,  62.57
3586,2026-05-25 15:15:37:646,143.340, 137.47,  76.37,  59.21
3587,2026-05-25 15:15:37:686,143.380, 137.47,  76.71,  62.57
3588,2026-05-25 15:15:37:725,143.419, 137.47,  77.05,  62.57
3589,2026-05-25 15:15:37:765,143.459, 137.47,  77.05,  59.21
3590,2026-05-25 15:15:37:807,143.502, 137.47,  77.05,  62.57
3591,2026-05-25 15:15:37:847,143.542, 137.47,  76.71,  62.57
3592,2026-05-25 15:15:37:890,143.585, 137.47,  79.07,  65.86
3593,2026-05-25 15:15:37:927,143.622, 137.47,  79.07,  62.57
3594,2026-05-25 15:15:37:966,143.660, 137.47,  79.07,  65.86
3595,2026-05-25 15:15:38:007,143.701, 139.76,  78.74,  62.57
3596,2026-05-25 15:15:38:046,143.740, 139.76,  79.07,  62.57
3597,2026-05-25 15:15:38:087,143.781, 137.47,  79.41,  65.86
3598,2026-05-25 15:15:38:124,143.819, 139.76,  79.07,  62.57
3599,2026-05-25 15:15:38:166,143.860, 141.78,  79.07,  65.86
3600,2026-05-25 15:15:38:205,143.899, 139.76,  79.07,  65.86
3601,2026-05-25 15:15:38:245,143.939, 139.76,  79.07,  65.86
3602,2026-05-25 15:15:38:287,143.982, 139.76,  79.07,  65.86
3603,2026-05-25 15:15:38:327,144.022, 139.76,  78.74,  65.86
3604,2026-05-25 15:15:38:365,144.060, 139.76,  78.74,  65.86
3605,2026-05-25 15:15:38:407,144.101, 139.76,  78.74,  62.57
3606,2026-05-25 15:15:38:447,144.141, 139.76,  78.74,  65.86
3607,2026-05-25 15:15:38:486,144.180, 141.78,  79.07,  65.86
3608,2026-05-25 15:15:38:525,144.220, 135.41,  79.07,  62.57
3609,2026-05-25 15:15:38:566,144.260, 139.76,  79.07,  62.57
3610,2026-05-25 15:15:38:607,144.301, 139.76,  79.41,  62.57
3611,2026-05-25 15:15:38:647,144.341, 137.47,  79.41,  65.86
3612,2026-05-25 15:15:38:687,144.381, 139.76,  79.41,  62.57
3613,2026-05-25 15:15:38:728,144.421, 137.47,  79.07,  62.57
3614,2026-05-25 15:15:38:767,144.461, 139.76,  79.07,  65.86
3615,2026-05-25 15:15:38:807,144.501, 139.76,  79.07,  65.86
3616,2026-05-25 15:15:38:845,144.539, 137.47,  78.74,  62.57
3617,2026-05-25 15:15:38:887,144.581, 139.76,  81.40,  65.86
3618,2026-05-25 15:15:38:927,144.621, 139.76,  81.07,  69.08
3619,2026-05-25 15:15:38:967,144.661, 139.76,  81.40,  69.08
3620,2026-05-25 15:15:39:008,144.702, 141.78,  81.40,  69.08
3621,2026-05-25 15:15:39:046,144.740, 139.76,  81.40,  69.08
3622,2026-05-25 15:15:39:087,144.781, 139.76,  81.73,  69.08
3623,2026-05-25 15:15:39:127,144.821, 139.76,  81.40,  65.86
3624,2026-05-25 15:15:39:167,144.861, 139.76,  81.07,  69.08
3625,2026-05-25 15:15:39:205,144.899, 139.76,  81.07,  69.08
3626,2026-05-25 15:15:39:245,144.939, 139.76,  81.07,  69.08
3627,2026-05-25 15:15:39:286,144.980, 139.76,  81.07,  69.08
3628,2026-05-25 15:15:39:325,145.019, 141.78,  81.40,  69.08
3629,2026-05-25 15:15:39:365,145.059, 139.76,  81.07,  69.08
3630,2026-05-25 15:15:39:406,145.099, 139.76,  81.40,  65.86
3631,2026-05-25 15:15:39:445,145.139, 141.78,  81.40,  69.08
3632,2026-05-25 15:15:39:488,145.182, 141.78,  81.40,  65.86
3633,2026-05-25 15:15:39:529,145.222, 139.76,  81.73,  69.08
3634,2026-05-25 15:15:39:568,145.262, 139.76,  81.73,  65.86
3635,2026-05-25 15:15:39:611,145.305, 139.76,  81.40,  69.08
3636,2026-05-25 15:15:39:647,145.341, 139.76,  81.73,  69.08
3637,2026-05-25 15:15:39:688,145.382, 139.76,  81.73,  65.86
3638,2026-05-25 15:15:39:728,145.422, 137.47,  81.73,  65.86
3639,2026-05-25 15:15:39:768,145.462, 139.76,  81.73,  65.86
3640,2026-05-25 15:15:39:807,145.502, 141.78,  81.40,  69.08
3641,2026-05-25 15:15:39:847,145.541, 139.76,  81.40,  65.86
3642,2026-05-25 15:15:39:887,145.581, 141.78,  81.40,  65.86
3643,2026-05-25 15:15:39:925,145.620, 135.41,  79.41,  62.57
3644,2026-05-25 15:15:39:965,145.660, 135.41,  79.07,  65.86
3645,2026-05-25 15:15:40:006,145.701, 135.41,  79.07,  65.86
3646,2026-05-25 15:15:40:046,145.740, 137.47,  79.07,  62.57
3647,2026-05-25 15:15:40:085,145.779, 137.47,  79.07,  62.57
3648,2026-05-25 15:15:40:125,145.819, 135.41,  79.41,  65.86
3649,2026-05-25 15:15:40:165,145.860, 135.41,  79.74,  65.86
3650,2026-05-25 15:15:40:206,145.900, 137.47,  79.74,  62.57
3651,2026-05-25 15:15:40:245,145.939, 137.47,  79.74,  65.86
3652,2026-05-25 15:15:40:285,145.979, 137.47,  79.41,  65.86
3653,2026-05-25 15:15:40:327,146.022, 137.47,  79.74,  65.86
3654,2026-05-25 15:15:40:366,146.060, 137.47,  78.74,  65.86
3655,2026-05-25 15:15:40:407,146.101, 135.41,  78.74,  65.86
3656,2026-05-25 15:15:40:447,146.141, 135.41,  78.74,  65.86
3657,2026-05-25 15:15:40:487,146.182, 137.47,  79.07,  65.86
3658,2026-05-25 15:15:40:526,146.220, 139.76,  79.41,  65.86
3659,2026-05-25 15:15:40:566,146.261, 135.41,  79.41,  65.86
3660,2026-05-25 15:15:40:607,146.301, 137.47,  79.74,  65.86
3661,2026-05-25 15:15:40:645,146.339, 137.47,  79.41,  62.57
3662,2026-05-25 15:15:40:688,146.382, 137.47,  79.07,  62.57
3663,2026-05-25 15:15:40:727,146.422, 137.47,  78.74,  62.57
3664,2026-05-25 15:15:40:767,146.461, 137.47,  79.07,  62.57
3665,2026-05-25 15:15:40:807,146.501, 135.41,  79.07,  65.86
3666,2026-05-25 15:15:40:847,146.541, 137.47,  79.07,  62.57
3667,2026-05-25 15:15:40:887,146.581, 137.47,  79.07,  62.57
3668,2026-05-25 15:15:40:927,146.621, 135.41,  79.74,  65.86
3669,2026-05-25 15:15:40:967,146.661, 139.76,  81.40,  69.08
3670,2026-05-25 15:15:41:005,146.699, 139.76,  81.73,  65.86
3671,2026-05-25 15:15:41:047,146.741, 139.76,  81.73,  69.08
3672,2026-05-25 15:15:41:087,146.781, 139.76,  82.06,  69.08
3673,2026-05-25 15:15:41:127,146.821, 139.76,  82.06,  69.08
3674,2026-05-25 15:15:41:167,146.861, 139.76,  82.06,  69.08
3675,2026-05-25 15:15:41:205,146.900, 137.47,  82.06,  69.08
3676,2026-05-25 15:15:41:245,146.939, 137.47,  82.06,  65.86
3677,2026-05-25 15:15:41:285,146.980, 139.76,  82.06,  69.08
3678,2026-05-25 15:15:41:325,147.019, 139.76,  81.73,  69.08
3679,2026-05-25 15:15:41:365,147.059, 137.47,  81.73,  69.08
3680,2026-05-25 15:15:41:405,147.099, 137.47,  82.06,  69.08
3681,2026-05-25 15:15:41:445,147.139, 137.47,  82.06,  69.08
3682,2026-05-25 15:15:41:485,147.180, 137.47,  82.06,  65.86
3683,2026-05-25 15:15:41:527,147.221, 137.47,  81.73,  65.86
3684,2026-05-25 15:15:41:567,147.261, 139.76,  81.73,  69.08
3685,2026-05-25 15:15:41:612,147.306, 137.47,  82.06,  65.86
3686,2026-05-25 15:15:41:647,147.342, 137.47,  82.06,  69.08
3687,2026-05-25 15:15:41:685,147.380, 137.47,  82.06,  69.08
3688,2026-05-25 15:15:41:725,147.420, 137.47,  81.73,  69.08
3689,2026-05-25 15:15:41:765,147.459, 139.76,  81.73,  65.86
3690,2026-05-25 15:15:41:807,147.501, 139.76,  82.06,  69.08
3691,2026-05-25 15:15:41:846,147.540, 139.76,  82.06,  69.08
3692,2026-05-25 15:15:41:887,147.582, 137.47,  81.73,  69.08
3693,2026-05-25 15:15:41:925,147.620, 137.47,  82.06,  69.08
3694,2026-05-25 15:15:41:966,147.660, 139.76,  82.39,  69.08
3695,2026-05-25 15:15:42:007,147.701, 137.47,  82.39,  69.08
3696,2026-05-25 15:15:42:047,147.741, 137.47,  82.39,  69.08
3697,2026-05-25 15:15:42:085,147.779, 137.47,  82.39,  71.90
3698,2026-05-25 15:15:42:127,147.822, 139.76,  82.39,  69.08
3699,2026-05-25 15:15:42:167,147.861, 137.47,  82.39,  69.08
3700,2026-05-25 15:15:42:206,147.901, 139.76,  82.39,  69.08
3701,2026-05-25 15:15:42:245,147.939, 137.47,  82.39,  69.08
3702,2026-05-25 15:15:42:285,147.979, 137.47,  82.39,  69.08
3703,2026-05-25 15:15:42:328,148.022, 137.47,  82.06,  69.08
3704,2026-05-25 15:15:42:366,148.060, 137.47,  82.06,  69.08
3705,2026-05-25 15:15:42:408,148.102, 139.76,  82.06,  69.08
3706,2026-05-25 15:15:42:445,148.139, 137.47,  82.06,  69.08
3707,2026-05-25 15:15:42:488,148.182, 137.47,  81.73,  69.08
3708,2026-05-25 15:15:42:526,148.220, 137.47,  81.73,  65.86
3709,2026-05-25 15:15:42:566,148.260, 137.47,  81.73,  69.08
3710,2026-05-25 15:15:42:605,148.299, 137.47,  82.06,  65.86
3711,2026-05-25 15:15:42:646,148.340, 137.47,  82.06,  69.08
3712,2026-05-25 15:15:42:685,148.379, 139.76,  82.06,  69.08
3713,2026-05-25 15:15:42:725,148.419, 139.76,  82.06,  65.86
3714,2026-05-25 15:15:42:765,148.459, 139.76,  82.06,  69.08
3715,2026-05-25 15:15:42:805,148.499, 137.47,  81.73,  69.08
3716,2026-05-25 15:15:42:845,148.539, 137.47,  81.73,  69.08
3717,2026-05-25 15:15:42:885,148.579, 139.76,  81.73,  69.08
3718,2026-05-25 15:15:42:925,148.619, 137.47,  82.06,  69.08
3719,2026-05-25 15:15:42:965,148.659, 139.76,  81.73,  69.08
3720,2026-05-25 15:15:43:007,148.701, 137.47,  79.07,  65.86
3721,2026-05-25 15:15:43:045,148.739, 133.34,  79.41,  65.86
3722,2026-05-25 15:15:43:085,148.779, 135.41,  79.07,  65.86
3723,2026-05-25 15:15:43:126,148.820, 135.41,  79.07,  62.57
3724,2026-05-25 15:15:43:166,148.860, 135.41,  79.07,  62.57
3725,2026-05-25 15:15:43:205,148.899, 133.34,  79.07,  65.86
3726,2026-05-25 15:15:43:245,148.939, 133.34,  79.07,  62.57
3727,2026-05-25 15:15:43:285,148.979, 133.34,  79.07,  65.86
3728,2026-05-25 15:15:43:325,149.020, 135.41,  79.41,  65.86
3729,2026-05-25 15:15:43:365,149.059, 133.34,  79.07,  65.86
3730,2026-05-25 15:15:43:405,149.099, 133.34,  79.07,  65.86
3731,2026-05-25 15:15:43:445,149.139, 133.34,  79.41,  62.57
3732,2026-05-25 15:15:43:486,149.180, 135.41,  79.07,  62.57
3733,2026-05-25 15:15:43:527,149.222, 135.41,  79.07,  65.86
3734,2026-05-25 15:15:43:567,149.261, 133.34,  79.07,  62.57
3735,2026-05-25 15:15:43:607,149.302, 133.34,  79.07,  62.57
3736,2026-05-25 15:15:43:652,149.346, 133.34,  79.07,  65.86
3737,2026-05-25 15:15:43:690,149.384, 133.34,  79.07,  62.57
3738,2026-05-25 15:15:43:726,149.420, 135.41,  78.74,  62.57
3739,2026-05-25 15:15:43:765,149.460, 133.34,  78.74,  59.21
3740,2026-05-25 15:15:43:805,149.499, 133.34,  78.74,  62.57
3741,2026-05-25 15:15:43:847,149.541, 133.34,  79.07,  59.21
3742,2026-05-25 15:15:43:887,149.581, 135.41,  78.74,  59.21
3743,2026-05-25 15:15:43:929,149.623, 133.34,  79.07,  65.86
3744,2026-05-25 15:15:43:969,149.664, 133.34,  79.07,  65.86
3745,2026-05-25 15:15:44:008,149.703, 135.41,  81.40,  65.86
3746,2026-05-25 15:15:44:046,149.741, 135.41,  81.40,  69.08
3747,2026-05-25 15:15:44:087,149.781, 135.41,  80.74,  65.86
3748,2026-05-25 15:15:44:124,149.819, 135.41,  81.07,  65.86
3749,2026-05-25 15:15:44:166,149.861, 135.41,  81.07,  69.08
3750,2026-05-25 15:15:44:207,149.902, 135.41,  81.07,  69.08
3751,2026-05-25 15:15:44:244,149.939, 137.47,  81.07,  65.86
3752,2026-05-25 15:15:44:286,149.981, 135.41,  81.40,  65.86
3753,2026-05-25 15:15:44:326,150.021, 135.41,  81.73,  69.08
3754,2026-05-25 15:15:44:365,150.059, 135.41,  81.73,  69.08
3755,2026-05-25 15:15:44:407,150.101, 135.41,  81.73,  69.08
3756,2026-05-25 15:15:44:447,150.141, 137.47,  81.73,  69.08
3757,2026-05-25 15:15:44:485,150.180, 137.47,  82.06,  69.08
3758,2026-05-25 15:15:44:525,150.219, 135.41,  82.06,  69.08
3759,2026-05-25 15:15:44:567,150.261, 137.47,  82.06,  69.08
3760,2026-05-25 15:15:44:604,150.299, 137.47,  81.73,  69.08
3761,2026-05-25 15:15:44:647,150.342, 135.41,  81.73,  65.86
3762,2026-05-25 15:15:44:687,150.382, 137.47,  81.73,  69.08
3763,2026-05-25 15:15:44:727,150.422, 137.47,  81.73,  69.08
3764,2026-05-25 15:15:44:767,150.461, 135.41,  81.73,  65.86
3765,2026-05-25 15:15:44:807,150.501, 135.41,  81.40,  69.08
3766,2026-05-25 15:15:44:847,150.541, 137.47,  81.40,  69.08
3767,2026-05-25 15:15:44:886,150.581, 135.41,  81.40,  69.08
3768,2026-05-25 15:15:44:927,150.621, 135.41,  81.73,  69.08
3769,2026-05-25 15:15:44:964,150.659, 135.41,  81.40,  65.86
3770,2026-05-25 15:15:45:006,150.701, 135.41,  81.40,  65.86
3771,2026-05-25 15:15:45:045,150.739, 133.34,  79.41,  62.57
3772,2026-05-25 15:15:45:085,150.780, 133.34,  79.41,  62.57
3773,2026-05-25 15:15:45:127,150.821, 133.34,  79.41,  65.86
3774,2026-05-25 15:15:45:167,150.862, 133.34,  79.41,  65.86
3775,2026-05-25 15:15:45:204,150.899, 133.34,  79.07,  62.57
3776,2026-05-25 15:15:45:245,150.940, 133.34,  79.41,  65.86
3777,2026-05-25 15:15:45:285,150.980, 131.00,  78.74,  65.86
3778,2026-05-25 15:15:45:325,151.019, 131.00,  78.74,  62.57
3779,2026-05-25 15:15:45:365,151.059, 133.34,  79.07,  62.57
3780,2026-05-25 15:15:45:405,151.099, 133.34,  79.41,  65.86
3781,2026-05-25 15:15:45:445,151.140, 133.34,  79.41,  65.86
3782,2026-05-25 15:15:45:485,151.180, 133.34,  79.41,  65.86
3783,2026-05-25 15:15:45:527,151.222, 133.34,  79.07,  65.86
3784,2026-05-25 15:15:45:567,151.261, 131.00,  79.07,  65.86
3785,2026-05-25 15:15:45:610,151.305, 131.00,  79.41,  65.86
3786,2026-05-25 15:15:45:647,151.342, 135.41,  79.41,  65.86
3787,2026-05-25 15:15:45:690,151.385, 131.00,  79.41,  62.57
3788,2026-05-25 15:15:45:727,151.422, 131.00,  79.07,  65.86
3789,2026-05-25 15:15:45:768,151.462, 133.34,  79.41,  65.86
3790,2026-05-25 15:15:45:807,151.502, 131.00,  79.41,  65.86
3791,2026-05-25 15:15:45:847,151.541, 133.34,  79.07,  65.86
3792,2026-05-25 15:15:45:888,151.582, 131.00,  79.07,  65.86
3793,2026-05-25 15:15:45:928,151.623, 133.34,  78.74,  62.57
3794,2026-05-25 15:15:45:968,151.663, 133.34,  78.74,  62.57
3795,2026-05-25 15:15:46:005,151.699, 133.34,  78.74,  65.86
3796,2026-05-25 15:15:46:045,151.739, 131.00,  75.69,  59.21
3797,2026-05-25 15:15:46:087,151.781, 128.89,  75.35,  59.21
3798,2026-05-25 15:15:46:127,151.821, 128.89,  75.35,  59.21
3799,2026-05-25 15:15:46:166,151.860, 128.89,  75.35,  59.21
3800,2026-05-25 15:15:46:207,151.901, 128.89,  75.35,  59.21
3801,2026-05-25 15:15:46:246,151.940, 128.89,  75.69,  55.78
3802,2026-05-25 15:15:46:286,151.980, 131.00,  76.03,  62.57
3803,2026-05-25 15:15:46:326,152.019, 128.89,  76.03,  55.78
3804,2026-05-25 15:15:46:366,152.060, 128.89,  76.03,  62.57
3805,2026-05-25 15:15:46:405,152.099, 131.00,  75.69,  62.57
3806,2026-05-25 15:15:46:445,152.139, 128.89,  75.69,  62.57
3807,2026-05-25 15:15:46:485,152.180, 128.89,  75.69,  62.57
3808,2026-05-25 15:15:46:526,152.220, 128.89,  76.03,  62.57
3809,2026-05-25 15:15:46:566,152.260, 128.89,  76.37,  59.21
3810,2026-05-25 15:15:46:607,152.301, 128.89,  76.71,  62.57
3811,2026-05-25 15:15:46:647,152.341, 131.00,  76.71,  62.57
3812,2026-05-25 15:15:46:687,152.381, 128.89,  76.71,  62.57
3813,2026-05-25 15:15:46:727,152.421, 131.00,  76.71,  62.57
3814,2026-05-25 15:15:46:765,152.459, 131.00,  77.05,  62.57
3815,2026-05-25 15:15:46:808,152.502, 128.89,  76.71,  62.57
3816,2026-05-25 15:15:46:847,152.541, 133.34,  76.71,  62.57
3817,2026-05-25 15:15:46:887,152.581, 128.89,  76.71,  59.21
3818,2026-05-25 15:15:46:927,152.621, 128.89,  77.05,  62.57
3819,2026-05-25 15:15:46:965,152.659, 128.89,  77.05,  59.21
3820,2026-05-25 15:15:47:006,152.701, 128.89,  76.71,  62.57
3821,2026-05-25 15:15:47:046,152.741, 131.00,  76.71,  62.57
3822,2026-05-25 15:15:47:086,152.780, 128.89,  73.98,  59.21
3823,2026-05-25 15:15:47:124,152.819, 128.89,  73.63,  59.21
3824,2026-05-25 15:15:47:167,152.861, 128.89,  73.63,  59.21
3825,2026-05-25 15:15:47:206,152.901, 128.89,  73.98,  55.78
3826,2026-05-25 15:15:47:247,152.941, 128.89,  73.63,  55.78
3827,2026-05-25 15:15:47:284,152.979, 128.89,  73.63,  55.78
3828,2026-05-25 15:15:47:325,153.020, 128.89,  73.98,  55.78
3829,2026-05-25 15:15:47:365,153.059, 128.89,  74.32,  59.21
3830,2026-05-25 15:15:47:405,153.100, 128.89,  73.63,  55.78
3831,2026-05-25 15:15:47:445,153.139, 128.89,  73.29,  55.78
3832,2026-05-25 15:15:47:485,153.180, 128.89,  72.94,  59.21
3833,2026-05-25 15:15:47:525,153.220, 128.89,  73.29,  55.78
3834,2026-05-25 15:15:47:565,153.259, 128.89,  73.63,  55.78
3835,2026-05-25 15:15:47:605,153.299, 128.89,  73.29,  59.21
3836,2026-05-25 15:15:47:647,153.341, 128.89,  73.63,  55.78
3837,2026-05-25 15:15:47:687,153.381, 128.89,  73.63,  55.78
3838,2026-05-25 15:15:47:731,153.426, 128.89,  72.94,  55.78
